column name,count,mean,std,min,25%,50%,75%,max
number_of_features,510.0,0.0,1.001,-1.94,-0.795,-0.128,0.922,2.066
proportion_of_numeric_features,510.0,-0.0,1.001,-3.052,-0.505,0.646,0.646,0.646
number_of_instances,510.0,0.0,1.001,-0.898,-0.718,-0.37,0.4,4.072
number_of_classes,510.0,-0.0,1.001,-0.892,-0.892,-0.529,0.922,2.373
ratio_of_instances_to_features,510.0,-0.0,1.001,-0.626,-0.508,-0.309,0.089,6.798
ratio_of_classes_to_features,510.0,0.0,1.001,-0.825,-0.588,-0.303,0.179,7.003
ratio_of_instances_to_classes,510.0,-0.0,1.001,-0.694,-0.574,-0.411,0.235,5.016
ratio_of_min_to_max_instances_per_class,510.0,-0.0,1.001,-1.277,-1.057,0.087,1.094,1.298
proportion_of_features_with_outliers,510.0,-0.0,1.001,-1.23,-1.086,0.044,1.075,1.318
average_mutual_information,510.0,0.0,1.001,-0.785,-0.583,-0.344,0.121,4.146
minimum_mutual_information,510.0,0.0,1.001,-0.429,-0.429,-0.429,-0.116,4.994
maximum_mutual_information,510.0,0.0,1.001,-1.033,-0.742,-0.41,0.695,2.756
equivalent_number_of_features,510.0,-0.0,1.001,-0.662,-0.519,-0.343,0.019,4.711
noise_to_signal_ratio_of_features,510.0,0.0,1.001,-0.523,-0.443,-0.275,-0.057,7.849
